Количество playlist-ов: 57
|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        36 |                 t411 |          23 |                120 |
|        37 |                 t421 |          24 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        32 |                 t211 |          19 |                120 |
|        33 |                 t221 |          20 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        38 |                 t511 |          25 |                120 |
|        39 |                 t521 |          26 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        40 |                 t611 |          27 |                180 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        41 |                 t612 |          27 |                 60 |
|        40 |                 t611 |          27 |                180 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        34 |                 t311 |          21 |                120 |
|        35 |                 t321 |          22 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        30 |                 t111 |          17 |                120 |
|        31 |                 t121 |          18 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        41 |                 t612 |          27 |                 60 |
|        38 |                 t511 |          25 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        41 |                 t612 |          27 |                 60 |
|        36 |                 t411 |          23 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        41 |                 t612 |          27 |                 60 |
|        32 |                 t211 |          19 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        41 |                 t612 |          27 |                 60 |
|        33 |                 t221 |          20 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        41 |                 t612 |          27 |                 60 |
|        30 |                 t111 |          17 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        41 |                 t612 |          27 |                 60 |
|        31 |                 t121 |          18 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        34 |                 t311 |          21 |                120 |
|        32 |                 t211 |          19 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        41 |                 t612 |          27 |                 60 |
|        39 |                 t521 |          26 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        34 |                 t311 |          21 |                120 |
|        30 |                 t111 |          17 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        34 |                 t311 |          21 |                120 |
|        31 |                 t121 |          18 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        34 |                 t311 |          21 |                120 |
|        38 |                 t511 |          25 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        34 |                 t311 |          21 |                120 |
|        39 |                 t521 |          26 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        34 |                 t311 |          21 |                120 |
|        36 |                 t411 |          23 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        34 |                 t311 |          21 |                120 |
|        37 |                 t421 |          24 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        35 |                 t321 |          22 |                120 |
|        32 |                 t211 |          19 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        35 |                 t321 |          22 |                120 |
|        33 |                 t221 |          20 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        41 |                 t612 |          27 |                 60 |
|        37 |                 t421 |          24 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        35 |                 t321 |          22 |                120 |
|        31 |                 t121 |          18 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        35 |                 t321 |          22 |                120 |
|        38 |                 t511 |          25 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        35 |                 t321 |          22 |                120 |
|        39 |                 t521 |          26 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        35 |                 t321 |          22 |                120 |
|        36 |                 t411 |          23 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        41 |                 t612 |          27 |                 60 |
|        34 |                 t311 |          21 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        42 |                 t613 |          27 |                 60 |
|        41 |                 t612 |          27 |                 60 |
|        35 |                 t321 |          22 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        32 |                 t211 |          19 |                120 |
|        30 |                 t111 |          17 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        32 |                 t211 |          19 |                120 |
|        31 |                 t121 |          18 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        32 |                 t211 |          19 |                120 |
|        38 |                 t511 |          25 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        32 |                 t211 |          19 |                120 |
|        39 |                 t521 |          26 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
|        32 |                 t211 |          19 |                120 |
|        36 |                 t411 |          23 |                120 |
|-----------|----------------------|-------------|--------------------|

|-----------|----------------------|-------------|--------------------|
| Код песни |    Название песни    | Код альбома | Длительность песни |
|-----------|----------------------|-------------|--------------------|
